1,Dance Monkey,Tones and I,5943521
2,The Box,Roddy Ricch,5763703
3,Blinding Lights,Weekend,5701747
4,Intentions,Justin Bieber(feat. Quavo),4753680
5,Don't Start Now,Dua Lipa,4620166
6,No Time To Die,Billie Eilish,4339313
7,Yummy,Justin Bieber,4033884
8,Tusa,KAROL G,3965183
9,Falling,Trevor Daniel,3878033
10,ROXANNE,Arizona Zervas,3679493
11,Life Is Good,Future(feat. Drake),3461908
12,everything i wanted,Billie Eilish,3373714
13,Circles,Post Malone,2977561
14,Godzilla,Eminem(feat. Juice WRLD),2884629
15,Someone You Loved,Lewis Capaldi,2837428
16,Forever,Justin Bieber(feat. Post Malone & Clever),2791186
17,Memories,Maroon 5,2762429
18,Ignorantes,Bad Bunny,2611487
19,bad guy,Billie Eilish,2496895
20,Adore You,Harry Styles,2382540
21,Señorita,Shawn Mendes,2294020
22,Say So,Doja Cat,2271424
23,RITMO(Bad Boys For Life),The Black Eyed Peas,2232156
24,Before You Go,Lewis Capaldi,2229088
25,You should be sad,Halsey,2219932
26,My Oh My,Camila Cabello(feat. DaBaby),2152218
27,Sigues Con El,Dimelo Flow,2123350
28,Physical,Dua Lipa,2090847
29,Blueberry Faygo,Lil Mosey,2055251
30,To Die For,Sam Smith,2040059
31,Roses - Imanbek Remix,SAINt JHN,2006877
32,Lose Control,MEDUZA,1873142
33,Vete,Bad Bunny,1802211
34,High Fashion,Roddy Ricch(feat. Mustard),1774197
35,Ride It,Regard,1752123
36,Suicidal,YNW Melly,1748230
37,Sunday Best,Surfaces,1743495
38,Hola - Remix,Dalex,1739203
39,What A Man Gotta Do,Jonas Brothers,1701702
40,Morado,J Balvin,1689491
41,Keii,Anuel AA,1660073
42,I Don't Care,Ed Sheeran(with Justin Bieber),1596529
43,What If I Told You That I Love You,Ali Gatie,1586421
44,Lose You To Love Me,Selena Gomez,1576279
45,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1562258
46,Fantasias,Rauw Alejandro,1544130
47,hot girl bummer,blackbear,1519833
48,BOP,DaBaby,1502448
49,when the party's over,Billie Eilish,1487994
50,Know Your Worth,Khalid,1472177
51,SUGAR,BROCKHAMPTON,1458880
52,Muévelo,Nicky Jam,1426130
53,10000 Hours,Dan and Shay(with Justin Bieber),1383848
54,lovely,Billie Eilish(with Khalid),1383434
55,Rare,Selena Gomez,1382621
56,Numbers,A Boogie Wit da Hoodie(feat. Roddy Ricch Gunna and London On Da Track),1343489
57,Me Gusta,Shakira,1333978
58,HIGHEST IN THE ROOM,Travis Scott,1330722
